SongID,TrackName,Artists,Genre,FilePath
357,4 The People,Noizu/Tony Romera,Bass House,..\data\audio_files\processed\357.mp3
358,Push To Start (feat. No/Me),Noizu/Westend/No/Me,Bass House,..\data\audio_files\processed\358.mp3
359,Good Times,Nonô,,..\data\audio_files\processed\359.mp3
360,Come with Me - Radio Mix,Nora En Pure,Deep House,..\data\audio_files\processed\360.mp3
361,Light,Nu Aspect,Bassline,..\data\audio_files\processed\361.mp3
362,Make You Mine,NVOY,Deep Groove House,..\data\audio_files\processed\362.mp3
363,You Are,NVOY,Deep Groove House,..\data\audio_files\processed\363.mp3
364,Give You,Odd Mob,Aussietronica,..\data\audio_files\processed\364.mp3
365,Blisters on My Feet,Odd Mob/Basura Boyz,Aussietronica,..\data\audio_files\processed\365.mp3
366,Losing Control,Odd Mob/OMNOM,Aussietronica,..\data\audio_files\processed\366.mp3
367,"Mind Awake, Body Asleep",Odd Mob/OMNOM/HYPERBEAM,Aussietronica,..\data\audio_files\processed\367.mp3
368,Into You - Radio Edit,Odd Mob/Starley,Aussietronica,..\data\audio_files\processed\368.mp3
369,Lady Love,Oden & Fatzo/Camden Cox,,..\data\audio_files\processed\369.mp3
370,Falls - Golden Features Remix,ODESZA/Sasha Alex Sloan/Golden Features,Chillwave,..\data\audio_files\processed\370.mp3
371,Bucovina 2023,Oliver Heldens/Shantel,Dutch House,..\data\audio_files\processed\371.mp3
372,Okami,Oski/Allen Mock/Herbalistek,Brostep,..\data\audio_files\processed\372.mp3
373,Breeze,Paccu,,..\data\audio_files\processed\373.mp3
374,Your Heart,Paccu,,..\data\audio_files\processed\374.mp3
375,U Ok?,PARISI/Steve Angello/Sebastian Ingrosso,,..\data\audio_files\processed\375.mp3
376,MDR,Party Favor/Baauer,Brostep,..\data\audio_files\processed\376.mp3
377,Canutito,Paskman,Latin Tech House,..\data\audio_files\processed\377.mp3
378,Roller Coaster,Paskman,Latin Tech House,..\data\audio_files\processed\378.mp3
379,Make Me Happy (feat. Might Delete Later),Patrick Topping/Might Delete Later,House,..\data\audio_files\processed\379.mp3
380,Whisper (feat. Raphi),Patrick Topping/Raphi,House,..\data\audio_files\processed\380.mp3
381,In My Head (feat. Shayan),Paul Woolford/LF SYSTEM/Shayan,House,..\data\audio_files\processed\381.mp3
382,Hendrix Flow,PAWSA,,..\data\audio_files\processed\382.mp3
383,matingcall.exe,Pedestrian Tactics,,..\data\audio_files\processed\383.mp3
384,Nerds Trying To Dance,Pedestrian Tactics,,..\data\audio_files\processed\384.mp3
385,(It Goes Like) Nanana - Edit,Peggy Gou,Electra,..\data\audio_files\processed\385.mp3
386,Breakfast,PEZNT/Born I,,..\data\audio_files\processed\386.mp3
387,Keepmastik,Phlegmatic Dogs,Bass House,..\data\audio_files\processed\387.mp3
388,What I Do,Piero Pirupa/Millean./Haylee Wood,Italian Tech House,..\data\audio_files\processed\388.mp3
389,Stick-Up,Pimp Chic!,Brazilian Bass,..\data\audio_files\processed\389.mp3
390,Arc-en-ciel,Polo & Pan,Dark Disco,..\data\audio_files\processed\390.mp3
391,Bakara,Polo & Pan,Dark Disco,..\data\audio_files\processed\391.mp3
392,Gengis,Polo & Pan,Dark Disco,..\data\audio_files\processed\392.mp3
393,Get Your Wish - DJ NOT PORTER ROBINSON Remix,Porter Robinson,Complextro,..\data\audio_files\processed\393.mp3
394,Dummy – Chris Lake Remix,Portugal. The Man/Chris Lake,Indie Rock,..\data\audio_files\processed\394.mp3
395,Magic Word,Proxy/AC Slater,Bass House,..\data\audio_files\processed\395.mp3
396,Drive,Prunk/Dennis Quin,Dutch Tech House,..\data\audio_files\processed\396.mp3
397,Anything (For Your Love),Punctual,Pop Dance,..\data\audio_files\processed\397.mp3
398,Eva,Punctual,Pop Dance,..\data\audio_files\processed\398.mp3
