danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,overall_tempo,times_tempogram_kfixed,times_chroma_kfixed,numseg_combined_kfixed,times_combined_kfixed
0.641,0.924,11,-5.952,1,0.138,0.0286,0.00212,0.185,0.516,127.984,4,7BI1wl8FIQecbsMh41hFsW,"['4XquDVA8pkg5Lx91No1JxB', '4oLeXFyACqeem2VImYeBFe', '3pK4EcflBpG1Kpmjk5LK2R']","['house', 'stutter house', 'black americana', 'neo soul', 'edm', 'modern blues rock']",Stay High again..,"Brittany Howard, Fred again.., Joy Anonymous","Brittany Howard, Fred again.., Joy Anonymous - Stay High again...mp3",254.003,A minor,0.504350783405973,8A,127.8409090909091,"22.272,179.25333333333333,201.06666666666666","53.73866666666667,166.05866666666665,206.624",5.0,"22.272,53.73866666666667,166.05866666666665,179.25333333333333,201.06666666666666"
0.623,0.787,3,-6.609,1,0.0549,0.325,1.14e-06,0.0688,0.785,91.962,4,0GtwMH7DIAU5lyHlnt4LQa,"['1gi49JL4LNUMlylXm5Z0ZG', '1oPRcJUkloHaRLYx0olBLJ']",['la pop'],Superficial Love,"Calica, Magdalena Bay","Calica, Magdalena Bay - Superficial Love.mp3",159.513,A major,0.8199549885463576,11B,92.21311475409836,"37.653333333333336,63.872,89.61066666666666","8.277333333333333,28.72533333333333,156.30933333333334",5.0,"8.277333333333333,28.72533333333333,63.872,89.61066666666666,156.30933333333334"
0.751,0.9,5,-4.964,1,0.154,0.0152,7.08e-06,0.202,0.732,122.003,4,0TU6XXYqBJ18bRIIiIFw89,"['5QP5fl1l4e9NmKmkMUOTF5', '0MZ2kdIMm8GrHOzPm1QK1A', '2TzDFGYjzVbaSEA3msOpqI']","['experimental hip hop', 'jazz rap', 'austindie', 'funktronica']",Ooeeooeeoo - Teddy Roxpin & Lando Chill Remix,"CAPYAC, Teddy Roxpin, Lando Chill",CAPYAC - Ooeeooeeoo - Teddy Roxpin & Lando Chill Remix.mp3,261.267,F minor,0.5475147553752061,4A,122.28260869565217,"8.010666666666667,53.792,161.09866666666667","172.736,197.024,230.208",6.0,"8.010666666666667,53.792,161.09866666666667,172.736,197.024,230.208"
0.838,0.849,1,-5.057,1,0.223,0.00533,0.0492,0.0637,0.754,124.006,4,5mFhetGcSgldHxwBh62wlC,['3wRQD6UZWlaWEnbgpIEPPX'],"['electro house', 'bass house']",Don't Let The Bass Get Ya,Cazztek,Cazztek - Don't Let The Bass Get Ya.mp3,278.926,F# minor,0.472478610704921,11A,125.0,"18.197333333333333,77.48266666666666,217.83466666666666","46.44266666666667,139.60533333333333,182.208",6.0,"18.197333333333333,46.44266666666667,77.48266666666666,139.60533333333333,182.208,217.83466666666666"
0.738,0.968,11,-3.1,0,0.0894,0.00103,0.346,0.269,0.856,125.031,4,1AzMcCQ8WZgxIv1bDTro4t,['3wRQD6UZWlaWEnbgpIEPPX'],"['electro house', 'bass house']",To The Beat,Cazztek,Cazztek - To The Beat.mp3,196.5,G# minor,0.5296979015813633,1A,125.0,"16.426666666666666,54.538666666666664,110.05866666666667","48.181333333333335,118.016,150.10133333333334",4.0,"16.426666666666666,48.181333333333335,110.05866666666667,150.10133333333334"
0.776,0.883,11,-5.845,0,0.0712,0.00426,0.351,0.0571,0.676,125.008,4,7IM73yy9leN8ftZsOVmVTO,['5Igpc9iLZ3YGtKeYfSrrOE'],"['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",I Want You,Chris Lake,Chris Lake - I Want You.mp3,245.769,F minor,0.2738872569161376,4A,125.0,"24.042666666666666,138.528,183.21066666666667","28.704,46.101333333333336,61.30133333333333",5.0,"24.042666666666666,46.101333333333336,61.30133333333333,138.528,183.21066666666667"
0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029,4,2e2yKavdT6WQzzMHwNtPFa,"['5Igpc9iLZ3YGtKeYfSrrOE', '21OabQwzpxuFNxp7p781Ao']","['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",In The Yuma,"Chris Lake, Aatig",Chris Lake - In The Yuma (feat. Aatig).mp3,153.843,G minor,0.2678099385460697,6A,125.0,"53.09866666666667,107.47733333333333,121.472","104.81066666666666,121.952,152.69333333333333",4.0,"53.09866666666667,107.47733333333333,121.472,152.69333333333333"
0.778,0.933,9,-5.719,1,0.214,0.00195,0.807,0.602,0.535,124.993,4,4oXT61OL4mDPRXbjq2d7b1,"['5Igpc9iLZ3YGtKeYfSrrOE', '1XwL3qdo0jPmliKRgxY5TL']","['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house', 'bmore']",Operator (Ring Ring) [feat. Dances With White Girls],"Chris Lake, Dances With White Girls",Chris Lake - Operator (Ring Ring) [feat. Dances With White Girls].mp3,358.856,E minor,0.4183042777433618,9A,125.0,"84.18133333333333,268.45866666666666,350.50666666666666","26.464,245.90933333333334,255.81866666666667",5.0,"26.464,84.18133333333333,245.90933333333334,268.45866666666666,350.50666666666666"
0.706,0.846,6,-5.475,1,0.04,0.00653,0.161,0.0908,0.241,123.994,4,0VgtjIiWXKMxqtYnhHmQ8U,['5Igpc9iLZ3YGtKeYfSrrOE'],"['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Stay With Me,Chris Lake,Chris Lake - Stay With Me.mp3,219.967,E minor,0.5693670693645818,9A,125.0,"7.818666666666667,190.00533333333334,217.77066666666667","15.424,157.94133333333335,183.936",4.0,"7.818666666666667,157.94133333333335,183.936,217.77066666666667"
0.824,0.745,11,-5.49,0,0.0755,0.0467,3.29e-05,0.198,0.888,125.013,4,7dsImih2L25fa6qjNphBI7,"['5Igpc9iLZ3YGtKeYfSrrOE', '2GtBFxIWM3H6wRI2uzZvyt']","['house', 'tech house', 'chill r&b', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Turn off the Lights,"Chris Lake, Alexis Roberts",Chris Lake - Turn off the Lights (feat. Alexis Roberts).mp3,205.043,G# minor,0.6933577830056535,1A,125.0,"30.4,34.54933333333334,199.69066666666666","32.576,110.66666666666667,168.55466666666666",4.0,"30.4,110.66666666666667,168.55466666666666,199.69066666666666"
