danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename
0.751,0.9,5,-4.964,1,0.154,0.0152,7.08e-06,0.202,0.732,122.003,4,0TU6XXYqBJ18bRIIiIFw89,"['5QP5fl1l4e9NmKmkMUOTF5', '0MZ2kdIMm8GrHOzPm1QK1A', '2TzDFGYjzVbaSEA3msOpqI']","['experimental hip hop', 'jazz rap', 'austindie', 'funktronica']",Ooeeooeeoo - Teddy Roxpin & Lando Chill Remix,"CAPYAC, Teddy Roxpin, Lando Chill",CAPYAC - Ooeeooeeoo - Teddy Roxpin & Lando Chill Remix.mp3
0.838,0.849,1,-5.057,1,0.223,0.00533,0.0492,0.0637,0.754,124.006,4,5mFhetGcSgldHxwBh62wlC,['3wRQD6UZWlaWEnbgpIEPPX'],"['electro house', 'bass house']",Don't Let The Bass Get Ya,Cazztek,Cazztek - Don't Let The Bass Get Ya.mp3
0.738,0.968,11,-3.1,0,0.0894,0.00103,0.346,0.269,0.856,125.031,4,1AzMcCQ8WZgxIv1bDTro4t,['3wRQD6UZWlaWEnbgpIEPPX'],"['electro house', 'bass house']",To The Beat,Cazztek,Cazztek - To The Beat.mp3
0.776,0.883,11,-5.845,0,0.0712,0.00426,0.351,0.0571,0.676,125.008,4,7IM73yy9leN8ftZsOVmVTO,['5Igpc9iLZ3YGtKeYfSrrOE'],"['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",I Want You,Chris Lake,Chris Lake - I Want You.mp3
0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029,4,2e2yKavdT6WQzzMHwNtPFa,"['5Igpc9iLZ3YGtKeYfSrrOE', '21OabQwzpxuFNxp7p781Ao']","['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",In The Yuma,"Chris Lake, Aatig",Chris Lake - In The Yuma (feat. Aatig).mp3
0.778,0.933,9,-5.719,1,0.214,0.00195,0.807,0.602,0.535,124.993,4,4oXT61OL4mDPRXbjq2d7b1,"['5Igpc9iLZ3YGtKeYfSrrOE', '1XwL3qdo0jPmliKRgxY5TL']","['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house', 'bmore']",Operator (Ring Ring) [feat. Dances With White Girls],"Chris Lake, Dances With White Girls",Chris Lake - Operator (Ring Ring) [feat. Dances With White Girls].mp3
0.706,0.846,6,-5.475,1,0.04,0.00653,0.161,0.0908,0.241,123.994,4,0VgtjIiWXKMxqtYnhHmQ8U,['5Igpc9iLZ3YGtKeYfSrrOE'],"['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Stay With Me,Chris Lake,Chris Lake - Stay With Me.mp3
0.824,0.745,11,-5.49,0,0.0755,0.0467,3.29e-05,0.198,0.888,125.013,4,7dsImih2L25fa6qjNphBI7,"['5Igpc9iLZ3YGtKeYfSrrOE', '2GtBFxIWM3H6wRI2uzZvyt']","['house', 'tech house', 'chill r&b', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Turn off the Lights,"Chris Lake, Alexis Roberts",Chris Lake - Turn off the Lights (feat. Alexis Roberts).mp3
0.81,0.66,9,-7.633,0,0.0616,0.000274,0.896,0.0701,0.678,124.023,4,176utnQuKh2Hbp2sGp5S1A,"['5Igpc9iLZ3YGtKeYfSrrOE', '0BEYTctVmnYa5yStp4Jpab']","['house', 'tech house', 'bass house', 'progressive house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Y.O.D.O,"Chris Lake, Destructo","Chris Lake, Destructo - Y.O.D.O.mp3"
0.764,0.886,11,-5.692,0,0.0466,0.000221,0.428,0.114,0.695,126.015,4,5KjGeN6trGA6e09HDprMmd,"['5Igpc9iLZ3YGtKeYfSrrOE', '1lAwVq9MxNJkB0dEY6xNoV']","['house', 'tech house', 'bass house', 'progressive house', 'deep disco house', 'edm', 'pop dance', 'melbourne bounce', 'electro house']",Drop Top,"Chris Lake, Walker & Royce","Chris Lake, Walker & Royce - Drop Top.mp3"
